subfolder,rank,word,count,total_files,total_words,estimated_cost
demo-files-tv-split,1,לא,626,12,32665,1.6584
demo-files-tv-split,2,מה,237,12,32665,1.6584
demo-files-tv-split,3,הזה,228,12,32665,1.6584
demo-files-tv-split,4,מאוד,161,12,32665,1.6584
demo-files-tv-split,5,יש,160,12,32665,1.6584
demo-files-tv-split,6,כן,137,12,32665,1.6584
demo-files-tv-split,7,ישראל,135,12,32665,1.6584
demo-files-tv-split,8,החטופים,130,12,32665,1.6584
demo-files-tv-split,9,פה,126,12,32665,1.6584
demo-files-tv-split,10,אז,114,12,32665,1.6584
demo-files-tv-split,11,חמאס,107,12,32665,1.6584
demo-files-tv-split,12,עוד,103,12,32665,1.6584
demo-files-tv-split,13,עכשיו,101,12,32665,1.6584
demo-files-tv-split,14,כמה,96,12,32665,1.6584
demo-files-tv-split,15,טוב,93,12,32665,1.6584
demo-files-tv-split,16,להיות,92,12,32665,1.6584
demo-files-tv-split,17,כבר,91,12,32665,1.6584
demo-files-tv-split,18,באמת,91,12,32665,1.6584
demo-files-tv-split,19,טראמפ,88,12,32665,1.6584
demo-files-tv-split,20,כאן,88,12,32665,1.6584
demo-files-tv-split,21,תודה,84,12,32665,1.6584
demo-files-tv-split,22,שם,84,12,32665,1.6584
demo-files-tv-split,23,רוצה,82,12,32665,1.6584
demo-files-tv-split,24,לי,82,12,32665,1.6584
demo-files-tv-split,25,שאנחנו,80,12,32665,1.6584
demo-files-tv-split,26,לך,78,12,32665,1.6584
demo-files-tv-split,27,שהוא,78,12,32665,1.6584
demo-files-tv-split,28,עזה,78,12,32665,1.6584
demo-files-tv-split,29,איך,72,12,32665,1.6584
demo-files-tv-split,30,שזה,70,12,32665,1.6584
demo-files-tv-split,31,היום,69,12,32665,1.6584
demo-files-tv-split,32,דבר,69,12,32665,1.6584
demo-files-tv-split,33,אחד,69,12,32665,1.6584
demo-files-tv-split,34,שהם,69,12,32665,1.6584
demo-files-tv-split,35,יהיה,68,12,32665,1.6584
demo-files-tv-split,36,לנו,67,12,32665,1.6584
demo-files-tv-split,37,מי,66,12,32665,1.6584
demo-files-tv-split,38,שלום,66,12,32665,1.6584
demo-files-tv-split,39,היה,65,12,32665,1.6584
demo-files-tv-split,40,ואני,63,12,32665,1.6584
demo-files-tv-split,41,שלו,62,12,32665,1.6584
demo-files-tv-split,42,שלנו,61,12,32665,1.6584
demo-files-tv-split,43,הממשלה,60,12,32665,1.6584
demo-files-tv-split,44,וגם,60,12,32665,1.6584
demo-files-tv-split,45,האלה,60,12,32665,1.6584
demo-files-tv-split,46,לו,59,12,32665,1.6584
demo-files-tv-split,47,אומר,58,12,32665,1.6584
demo-files-tv-split,48,וזה,58,12,32665,1.6584
demo-files-tv-split,49,באוקטובר,56,12,32665,1.6584
demo-files-tv-split,50,כדי,56,12,32665,1.6584
demo-files-tv-split,51,יכול,56,12,32665,1.6584
demo-files-tv-split,52,ראש,55,12,32665,1.6584
demo-files-tv-split,53,חושב,55,12,32665,1.6584
demo-files-tv-split,54,משהו,54,12,32665,1.6584
demo-files-tv-split,55,צריך,54,12,32665,1.6584
demo-files-tv-split,56,ואנחנו,52,12,32665,1.6584
demo-files-tv-split,57,אותם,52,12,32665,1.6584
demo-files-tv-split,58,ולא,51,12,32665,1.6584
demo-files-tv-split,59,הזאת,50,12,32665,1.6584
demo-files-tv-split,60,אותו,49,12,32665,1.6584
demo-files-tv-split,61,נכון,48,12,32665,1.6584
demo-files-tv-split,62,שלי,48,12,32665,1.6584
demo-files-tv-split,63,לעשות,47,12,32665,1.6584
demo-files-tv-split,64,אין,47,12,32665,1.6584
demo-files-tv-split,65,יודע,47,12,32665,1.6584
demo-files-tv-split,66,שלא,46,12,32665,1.6584
demo-files-tv-split,67,צריכים,46,12,32665,1.6584
demo-files-tv-split,68,המלחמה,45,12,32665,1.6584
demo-files-tv-split,69,קודם,45,12,32665,1.6584
demo-files-tv-split,70,שנתיים,44,12,32665,1.6584
demo-files-tv-split,71,הדבר,44,12,32665,1.6584
demo-files-tv-split,72,הדברים,43,12,32665,1.6584
demo-files-tv-split,73,אולי,42,12,32665,1.6584
demo-files-tv-split,74,בוקר,42,12,32665,1.6584
demo-files-tv-split,75,בין,41,12,32665,1.6584
demo-files-tv-split,76,רגע,41,12,32665,1.6584
demo-files-tv-split,77,הייתי,41,12,32665,1.6584
demo-files-tv-split,78,כמובן,40,12,32665,1.6584
demo-files-tv-split,79,רוצים,39,12,32665,1.6584
demo-files-tv-split,80,שיש,39,12,32665,1.6584
demo-files-tv-split,81,הייתה,39,12,32665,1.6584
demo-files-tv-split,82,הכל,39,12,32665,1.6584
demo-files-tv-split,83,אומרת,39,12,32665,1.6584
demo-files-tv-split,84,רבה,38,12,32665,1.6584
demo-files-tv-split,85,לכם,37,12,32665,1.6584
demo-files-tv-split,86,זו,37,12,32665,1.6584
demo-files-tv-split,87,שאני,37,12,32665,1.6584
demo-files-tv-split,88,קורה,37,12,32665,1.6584
demo-files-tv-split,89,קצת,36,12,32665,1.6584
demo-files-tv-split,90,ומתן,36,12,32665,1.6584
demo-files-tv-split,91,דברים,36,12,32665,1.6584
demo-files-tv-split,92,צהל,36,12,32665,1.6584
demo-files-tv-split,93,שלך,35,12,32665,1.6584
demo-files-tv-split,94,אפשר,34,12,32665,1.6584
demo-files-tv-split,95,אנשים,34,12,32665,1.6584
demo-files-tv-split,96,בכל,34,12,32665,1.6584
demo-files-tv-split,97,כזה,34,12,32665,1.6584
demo-files-tv-split,98,בעצם,34,12,32665,1.6584
demo-files-tv-split,99,אחר,34,12,32665,1.6584
demo-files-tv-split,100,להם,34,12,32665,1.6584
